Gene	Haploinsufficiency_Score	Triplosensitivity_Score	Haploinsufficiency_Description	Triplosensitivity_Description	Haploinsufficiency_DiseaseID	Triplosensitivity_DiseaseID
NDUFS7	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009723	NA
NDUFS8	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009723	NA
SURF1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009723	NA
HSPG2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009717	NA
BIN1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009709	NA
CPT1A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009705	NA
CSTB	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009698	NA
EPM2A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009697	NA
DOK7	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009690	NA
CHAT	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009689	NA
TRIM32	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009683	NA
SGCG	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009677	NA
CAPN3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009675	NA
HLCS	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009666	NA
BTD	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009665	NA
TRIM37	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009664	NA
GUSB	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009662	NA
GALNS	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009659	NA
GNS	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009658	NA
HGSNAT	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009657	NA
SGSH	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009655	NA
MOCS2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009644	NA
DGUOK	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009636	NA
MYO5B	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009635	NA
CANT1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009629	NA
TUBGCP6	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009624	NA
NBN	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009623	NA
MCPH1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009617	NA
MCEE	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009615	NA
MMAB	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009614	NA
MMAA	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009613	NA
MMUT	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009612	NA
MTR	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009609	NA
CYB5A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009605	NA
RMRP	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009595	NA
GPX4	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009593	NA
ARSA	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009591	NA
SPG21	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009568	NA
SIL1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009567	NA
BCKDHB	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009563	NA
DBT	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009563	NA
MAN2B1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009561	NA
MLYCD	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009556	NA
SLURP1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009552	NA
SUCLG1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009504	NA
PDHX	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009503	NA
GALC	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009499	NA
MGP	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009495	NA
OXCT1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009492	NA
UBE3B	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009485	NA
DNAI1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009484	NA
UBR1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009479	NA
DOCK8	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009478	NA
TTC7A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009465	NA
TGM1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009441	NA
FOXE1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009437	NA
DMP1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009430	NA
TBCE	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009426	NA
KCNJ1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009424	NA
GYS2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009414	NA
ALDH4A1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009401	NA
PRODH	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009400	NA
TNFRSF11B	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009394	NA
CPS1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009376	NA
HPSE2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009368	NA
HYLS1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009365	NA
MTRR	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009354	NA
MTHFR	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009353	NA
CBS	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009352	NA
ZEB2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0009341	NA
CCBE1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009337	NA
NCF2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009310	NA
NCF1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009309	NA
HSD17B4	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009300	NA
GBE1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009292	NA
GAA	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009290	NA
ETFB	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009282	NA
ETFDH	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009282	NA
GCDH	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009281	NA
GP1BB	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009276	NA
GORAB	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009271	NA
ADAMTSL2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009269	NA
GALT	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009258	NA
GALK1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009255	NA
FBP1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009251	NA
FTCD	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009240	NA
FSHB	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009239	NA
ANTXR2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009229	NA
ASAH1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009218	NA
FANCA	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009215	NA
FANCD2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009214	NA
FANCC	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009213	NA
F10	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009212	NA
F7	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0009211	NA
F5	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0009210	NA
