Gene	Haploinsufficiency_Score	Triplosensitivity_Score	Haploinsufficiency_Description	Triplosensitivity_Description	Haploinsufficiency_DiseaseID	Triplosensitivity_DiseaseID
RAF1	0	0	No evidence available	No evidence available	NA	NA
RB1CC1	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
RCAN1	0	0	No evidence available	No evidence available	NA	NA
RECQL	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	NA	NA
RHBDF2	0	0	No evidence available	No evidence available	NA	NA
RINT1	0	0	No evidence available	No evidence available	NA	NA
RNF135	0	0	No evidence available	No evidence available	NA	NA
RNF32	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
ROBO1	0	0	No evidence available	No evidence available	NA	NA
ROR2	0	0	No evidence available	No evidence available	NA	NA
RPH3A	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
RPL15	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
RPS20	0	0	No evidence available	No evidence available	NA	NA
RXFP2	0	0	No evidence available	No evidence available	NA	NA
RYR1	0	0	No evidence available	No evidence available	NA	NA
SCARB2	0	0	No evidence available	No evidence available	NA	NA
SCN1B	0	0	No evidence available	No evidence available	NA	NA
SDR42E1	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
SEC14L4	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
SEMA3A	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
SH2B1	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
SHOC2	0	0	No evidence available	No evidence available	NA	NA
SHROOM4	0	0	No evidence available	No evidence available	NA	NA
SIGLEC5	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
SIM1	0	0	No evidence available	No evidence available	NA	NA
SIX1	0	0	No evidence available	No evidence available	NA	NA
SIX4	0	0	No evidence available	No evidence available	NA	NA
SIX6	0	0	No evidence available	No evidence available	NA	NA
SKI	0	0	No evidence available	No evidence available	NA	NA
SLC22A14	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
SLC22A18	0	0	No evidence available	No evidence available	NA	NA
SLC25A12	0	0	No evidence available	No evidence available	NA	NA
SLC38A5	0	0	No evidence available	No evidence available	NA	NA
SLC6A18	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
SLC6A4	0	0	No evidence available	No evidence available	NA	NA
SMAD2	0	0	No evidence available	No evidence available	NA	NA
SNORD107	0	0	No evidence available	No evidence available	NA	NA
SNORD108	0	0	No evidence available	No evidence available	NA	NA
SNORD109B	0	0	No evidence available	No evidence available	NA	NA
SNORD64	0	0	No evidence available	No evidence available	NA	NA
SNORD8	0	0	No evidence available	No evidence available	NA	NA
SNORD9	0	0	No evidence available	No evidence available	NA	NA
SNRPN	0	0	No evidence available	No evidence available	NA	NA
SNURF	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
SOS1	0	0	No evidence available	No evidence available	NA	NA
SOX8	0	0	No evidence available	No evidence available	NA	NA
SPP2	0	0	No evidence available	No evidence available	NA	NA
SRCAP	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
SRPX2	0	0	No evidence available	No evidence available	NA	NA
STARD9	0	0	No evidence available	No evidence available	NA	NA
STAT1	0	0	No evidence available	No evidence available	NA	NA
STXBP2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	NA	NA
SUPT16H	0	0	No evidence available	No evidence available	NA	NA
SUZ12	0	0	No evidence available	No evidence available	NA	NA
TARDBP	0	0	No evidence available	No evidence available	NA	NA
TBC1D5	0	0	No evidence available	No evidence available	NA	NA
TBX2	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
TDGF1	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
TERT	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
TEX26	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
THRA	0	0	No evidence available	No evidence available	NA	NA
TIGD6	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
TLX3	0	0	No evidence available	No evidence available	NA	NA
TMEM135	0	0	No evidence available	No evidence available	NA	NA
TMEM178A	0	0	No evidence available	No evidence available	NA	NA
TNNT2	0	0	No evidence available	No evidence available	NA	NA
TNPO3	0	0	No evidence available	No evidence available	NA	NA
TOP3B	0	0	No evidence available	No evidence available	NA	NA
TP73	0	0	No evidence available	No evidence available	NA	NA
TPM1	0	0	No evidence available	No evidence available	NA	NA
TPSD1	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
TRAPPC10	0	0	No evidence available	No evidence available	NA	NA
TUBA1A	0	0	No evidence available	No evidence available	NA	NA
TUBB3	0	0	No evidence available	No evidence available	NA	NA
TUBB4A	0	0	No evidence available	No evidence available	NA	NA
UNC80	30	0	Gene associated with autosomal recessive phenotype	No evidence available	NA	NA
UNC93A	40	0	Dosage sensitivity unlikely	No evidence available	NA	NA
UPF2	0	0	No evidence available	No evidence available	NA	NA
VAMP7	0	0	No evidence available	No evidence available	NA	NA
VCX3A	0	40	No evidence available	Dosage sensitivity unlikely	NA	NA
VPS26C	0	0	No evidence available	No evidence available	NA	NA
WFS1	0	0	No evidence available	No evidence available	NA	NA
ZDHHC15	0	0	No evidence available	No evidence available	NA	NA
ZIC1	0	0	No evidence available	No evidence available	NA	NA
ZIC4	0	0	No evidence available	No evidence available	NA	NA
ZIM2	0	0	No evidence available	No evidence available	NA	NA
ZNF264	0	0	No evidence available	No evidence available	NA	NA
ZNF407	0	0	No evidence available	No evidence available	NA	NA
ZNF592	0	0	No evidence available	No evidence available	NA	NA
ZNF674	0	0	No evidence available	No evidence available	NA	NA
ZNF81	0	0	No evidence available	No evidence available	NA	NA
ZWILCH	1	0	Little evidence for dosage pathogenicity	No evidence available	NA	NA
