Phenotype	Gene
Baraitser-Winter syndrome 1 	ACTB, BRWS1
Bardet-Biedl syndrome 1 	BBS1
Bardet-Biedl syndrome 13 	MKS1, MKS, BBS13, JBTS28
Bardet-Biedl syndrome 6 	MKKS, HMCS, KMS, MKS, BBS6
Barrett esophagus/esophageal adenocarcinoma 	ASCC1, p50, SMABF2
Basal cell nevus syndrome 	SUFU, SUFUXL, SUFUH, JBTS32
Basal ganglia calcification, idiopathic, 1 	SLC20A2, MLVAR, GLVR2, IBGC1, IBGC2
Basal ganglia calcification, idiopathic, 4 	PDGFRB, PDGFR, IBGC4, IMF1, PENTT, KOGS
Basal ganglia calcification, idiopathic, 5 	PDGFB, SIS, IBGC5
Basal ganglia calcification, idiopathic, 6 	XPR1, SYG1, IBGC6
Basal ganglia calcification, idiopathic, 7, autosomal recessive 	MYORG, NET37, KIAA1161, IBGC7
Beare-Stevenson cutis gyrata syndrome 	FGFR2, BEK, CFD1, JWS, TK14, BBDS
Becker muscular dystrophy 	DMD, BMD, CMD3B
Behr syndrome 	OPA1, NTG, NPG, BERHS, MTDPS14
Bent bone dysplasia syndrome 	FGFR2, BEK, CFD1, JWS, TK14, BBDS
Bethlem myopathy 1 	COL6A1, BTHLM1, UCHMD1
Bethlem myopathy 1 	COL6A2, BTHLM1, UCMD1
Bethlem myopathy 1 	COL6A3, DYT27, BTHLM1, UCMD1
Bethlem myopathy 2 	COL12A1, UCMD2, BTHLM2, EDSMYP
Bile acid synthesis defect, congenital, 3 	CYP7B1, CBAS3, SPG5A
Bile acid synthesis defect, congenital, 4 	AMACR, CBAS4, AMACRD
Birk-Landau-Perez syndrome 	SLC30A9, C4orf1, HUEL, BILAPES
Bladder cancer, somatic 	FGFR3, ACH
Bladder cancer, somatic 	HRAS
Bohring-Opitz syndrome 	ASXL1, KIAA0978, BOPS, MDS
Boomerang dysplasia 	FLNB, SCT, AOI, LRS1
Bosma arhinia microphthalmia syndrome 	SMCHD1, KIAA0650, BAMS
Boucher-Neuhauser syndrome 	PNPLA6, NTE, SPG39, NTEMND, BNHS, LNMS, OMCS
Brachyolmia type 3 	TRPV4, VROAC, HMSN2C, CMT2C, SPSMA, SSQTL1, SMAL, BCYM3
Brain abnormalities, neurodegeneration, and dysosteosclerosis 	CSF1R, FMS, HDLS1, BANDDOS
Brain small vessel disease with or without ocular anomalies 	COL4A1, BSVD1, HANAC, ICH, BSVD, RATOR, PADMAL
Brody myopathy 	ATP2A1, SERCA1
Brooke-Spiegler syndrome 	CYLD, CDMT, EAC, MFT1, KIAA0849, BRSS, FTDALS8
Brown-Vialetto-Van Laere syndrome 1 	SLC52A3, C20orf54, RFT2, BVVLS1
Brown-Vialetto-Van Laere syndrome 2 	SLC52A2, GPR172A, GPCR41, PAR1, FLJ11856, BVVLS2
Bruck syndrome 1 	FKBP10, FKBP65, OI11, BRKS1
Bruck syndrome 2 	PLOD2, LH2, TLH, BRKS2
Brugada syndrome 9 	KCND3, KCND3S, KCND3L, SCA19, SCA22, BRGDA9
CAP myopathy 1 	TPM3, NEM1, CFTD, CAPM1
CAP myopathy 2 	TPM2, TMSB, AMCD1, DA1, DA2B4, NEM4
CAPOS syndrome 	ATP1A3, DYT12, RDP, AHC2, CAPOS, DEE99
CARASIL syndrome 	HTRA1, PRSS11, ARMD7, CARASIL, CADASIL2
CATSHL syndrome 	FGFR3, ACH
CHAND syndrome 	RIPK4, NKRD3, DIK, PPS2, CHANDS
CIMDAG syndrome 	VPS4A, VPS4, CIMDAG
COACH syndrome 1 	TMEM67, MKS3, JBTS6, NPHP11
COACH syndrome 2 	CC2D2A, KIAA1345, MKS6, COACH2, RP93
CPT II deficiency, infantile 	CPT2, IIAE4
CPT II deficiency, lethal neonatal 	CPT2, IIAE4
CPT II deficiency, myopathic, stress-induced 	CPT2, IIAE4
CRASH syndrome 	L1CAM, CAML1, HSAS1, MASA, SPG1
Camptodactyly-arthropathy-coxa vara-pericarditis syndrome 	PRG4, CACP, MSF, SZP, HAPO
Cardiac arrhythmia syndrome, with or without skeletal muscle weakness 	TRDN, TDN, CARDAR
Cardiac valvular dysplasia, X-linked 	FLNA, FLN1, NHBP, OPD1, OPD2, FMD, MNS, CVD1, CSBS, FGS2
Cardiomyopathy, dilated, 1A 	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS
Cardiomyopathy, dilated, 1AA, with or without LVNC 	ACTN2, CMD1AA, CMH23, MYOCOZ, MPD6
Cardiomyopathy, dilated, 1C, with or without LVNC 	LDB3, ZASP, CYPHER, KIAA01613, MFM4, CMD1C, CMH24, LVNC3
Cardiomyopathy, dilated, 1G 	TTN, CMD1G, TMD, LGMDR10, MPRM, HMERF, SALMY
Cardiomyopathy, dilated, 1GG 	SDHA, SDH1, SDHF, CMD1GG, PGL5, MC2DN1, NDAXOA
Cardiomyopathy, dilated, 1HH 	BAG3, MFM6
Cardiomyopathy, dilated, 1I 	DES, CMD1I, MFM1, SCPNK
Cardiomyopathy, dilated, 1II 	CRYAB, CRYA2, CTPP2, CMD1II, CTRCT16, MFM2
Cardiomyopathy, dilated, 1KK 	MYPN, CMD1DD, CMH22, RCM4, NEM11
Cardiomyopathy, dilated, 1L 	SGCD, SGD, LGMDR6, CMD1L
Cardiomyopathy, dilated, 1R 	ACTC1, CMD1R, CMH11, ASD5, LVNC4
Cardiomyopathy, dilated, 1S 	MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD
Cardiomyopathy, dilated, 1U 	PSEN1, AD3, ACNINV3
Cardiomyopathy, dilated, 1V 	PSEN2, AD4, STM2, CMD1V
Cardiomyopathy, dilated, 1X 	FKTN, FCMD, CMD1X, LGMDR13, MDDGA4, MDDGB4, MDDGC4
Cardiomyopathy, dilated, 3B 	DMD, BMD, CMD3B
Cardiomyopathy, familial hypertrophic 	CAV3, LQT9, MPDT, RMD2
Cardiomyopathy, familial hypertrophic, 26 	FLNC, FLN2, ABPA, ABPL, MFM5, MPD4, CMH26, RCM5
Cardiomyopathy, familial hypertrophic, 9 	TTN, CMD1G, TMD, LGMDR10, MPRM, HMERF, SALMY
Cardiomyopathy, familial restrictive 5 	FLNC, FLN2, ABPA, ABPL, MFM5, MPD4, CMH26, RCM5
Cardiomyopathy, familial restrictive, 4 	MYPN, CMD1DD, CMH22, RCM4, NEM11
Cardiomyopathy, hypertrophic 6 	PRKAG2, WPWS, CMH6
Cardiomyopathy, hypertrophic, 1 	MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD
Cardiomyopathy, hypertrophic, 10 	MYL2, CMH10, MFM12
Cardiomyopathy, hypertrophic, 11 	ACTC1, CMD1R, CMH11, ASD5, LVNC4
Cardiomyopathy, hypertrophic, 22 	MYPN, CMD1DD, CMH22, RCM4, NEM11
Cardiomyopathy, hypertrophic, 23, with or without LVNC 	ACTN2, CMD1AA, CMH23, MYOCOZ, MPD6
Cardiomyopathy, hypertrophic, 24 	LDB3, ZASP, CYPHER, KIAA01613, MFM4, CMD1C, CMH24, LVNC3
Cardiomyopathy, hypertrophic, 25 	TCAP, LGMDR7, CMH25
Carey-Fineman-Ziter syndrome 	MYMK, TMEM8C
Carney complex variant 	MYH8, DA7
Carnitine deficiency, systemic primary 	SLC22A5, OCTN2, CDSP, SCD
Carnitine-acylcarnitine translocase deficiency 	SLC25A20, CACT, CAC
Carpal tunnel syndrome, familial 	TTR, PALB
Cataract 16, multiple types 	CRYAB, CRYA2, CTPP2, CMD1II, CTRCT16, MFM2
Cataract 38, autosomal recessive 	AGK, MULK, MTDPS10, CATC5, CTRCT38
