Phenotype	Gene
Fibrosis of extraocular muscles, congenital, 3A 	TUBB3, TUBB4, CFEOM3A, CDCBM1
Fibrosis of extraocular muscles, congenital, 3B 	KIF21A, KIAA1708, FEOM1, CFEOM1, CFEOM3B
Fibrosis of extraocular muscles, congenital, 5 	COL25A1, CLAC, CFEOM5
Focal segmental glomerulosclerosis 10 	LMX1B, NPS1, FSGS10
Foveal hypoplasia 1 	PAX6, AN2, MGDA, FVH1, ASGD5
Friedreich ataxia with retained reflexes 	FXN, FRDA, FARR, X25
Friedreich ataxia 	FXN, FRDA, FARR, X25
Frontometaphyseal dysplasia 1 	FLNA, FLN1, NHBP, OPD1, OPD2, FMD, MNS, CVD1, CSBS, FGS2
Frontotemporal dementia and/or amyotrophic lateral sclerosis 1 	C9orf72, FTDALS1, FTDALS, ALSFTD
Frontotemporal dementia and/or amyotrophic lateral sclerosis 2 	CHCHD10, FTDALS2, SMAJ, IMMD
Frontotemporal dementia and/or amyotrophic lateral sclerosis 3 	SQSTM1, P62, PDB3, FTDALS3, NADGP, DMRV
Frontotemporal dementia and/or amyotrophic lateral sclerosis 4 	TBK1, NAK, FTDALS4, IIAE8
Frontotemporal dementia and/or amyotrophic lateral sclerosis 5 	CCNF, FBX1, FTDALS5
Frontotemporal dementia and/or amyotrophic lateral sclerosis 6 	VCP, IBMPFD1, CMT2Y, FTDALS6
Frontotemporal dementia and/or amyotrophic lateral sclerosis 7 	CHMP2B, DMT1, VPS2B, FTDALS7
Frontotemporal lobar degeneration with ubiquitin-positive inclusions 	GRN, CLN11
Frontotemporal lobar degeneration, TARDBP-related 	TARDBP, TDP43, ALS10
Fucosidosis 	FUCA1
GABA-transaminase deficiency 	ABAT, GABAT
GLUT1 deficiency syndrome 1, infantile onset, severe 	SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN
GLUT1 deficiency syndrome 2, childhood onset 	SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN
GM1-gangliosidosis, type I 	GLB1, MPS4B
GM1-gangliosidosis, type II 	GLB1, MPS4B
GM1-gangliosidosis, type III 	GLB1, MPS4B
GM2-gangliosidosis, AB variant 	GM2A
GM2-gangliosidosis, several forms 	HEXA, TSD
Gabriele-de Vries syndrome 	YY1, GADEVS
Galactosemia 	GALT
Galloway-Mowat syndrome 1 	WDR73, HSPC264, GAMOS1
Gastric cancer, somatic 	FGFR2, BEK, CFD1, JWS, TK14, BBDS
Gastrointestinal defects and immunodeficiency syndrome 2 	PI4KA, PIK4CA, PMGYCHA, SPG84, GIDID2
Gaucher disease, atypical 	PSAP, SAP1, PSAPD, PARK24
Generalized epilepsy with febrile seizures plus, type 2 	SCN1A, GEFSP2, SMEI, FEB3A, DEE6A, DRVT, FHM3, DEE6B
Genitopatellar syndrome 	KAT6B, MYST4, MORF, GTPTS
Gerstmann-Straussler disease 	PRNP, PRIP, KURU, CJD
Giant axonal neuropathy-1 	GAN, GAN1
Gillespie syndrome 	ITPR1, SCA15, SCA16, SCA29
Glaucoma 1, open angle, E 	OPTN, GLC1E, FIP2, HYPL, NRP, ALS12
Glomerulosclerosis, focal segmental, 5 	INF2, FSGS5, C14orf173, CMTDIE
Glutaric acidemia IIA 	ETFA, GA2, MADD
Glutaric acidemia IIB 	ETFB, MADD
Glutaric acidemia IIC 	ETFDH, MADD
Glutaricaciduria, type I 	GCDH
Glutathione synthetase deficiency 	GSS, GSHS
Glycine encephalopathy with normal serum glycine 	SLC6A9, GLYT1, GCENSG
Glycogen storage disease 0, muscle 	GYS1, GYS
Glycogen storage disease II 	GAA
Glycogen storage disease IIIa 	AGL, GDE
Glycogen storage disease IIIb 	AGL, GDE
Glycogen storage disease IV 	GBE1, GSD4, APBD
Glycogen storage disease VII 	PFKM, GSD7
Glycogen storage disease X 	PGAM2, PGAMM, GSD10
Glycogen storage disease XI 	LDHA, LDH1, GSD11
Glycogen storage disease XII 	ALDOA, GSD12
Glycogen storage disease XIII 	ENO3, GSD13
Glycogen storage disease of heart, lethal congenital 	PRKAG2, WPWS, CMH6
Glycosylphosphatidylinositol biosynthesis defect 15 	GPAA1, GAA1, GPIBD15
Gnathodiaphyseal dysplasia 	ANO5, TMEM16E, GDD1, LGMDR12
Gout, PRPS-related 	PRPS1, CMTX5, DFNX1, DFN2
HARP syndrome 	PANK2, NBIA1, PKAN, HARP
HDL deficiency, familial, 1 	ABCA1, ABC1, HPALP1, TGD, HDLCQTL13
HELLP syndrome, maternal, of pregnancy 	HADHA, MTPA
Harderoporphyria 	CPOX, HARPO
Hardikar syndrome 	MED12, TNRC11, TRAP230, HOPA, KIAA0192, OKS, FGS1, OHDOX, HDKR
Harel-Yoon syndrome 	ATAD3A, HAYOS, PHRINL
Heart-hand syndrome, Slovenian type 	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS
Heimler syndrome 1 	PEX1, ZWS1, PBD1A, PBD1B, HMLR1
Heimler syndrome 2 	PEX6, PXAAA1, PAF2, PBD4A, PDB4B, HMLR2
Hemolytic anemia due to glutathione synthetase deficiency 	GSS, GSHS
Hemolytic anemia due to hexokinase deficiency 	HK1, HKD, HMSNR, RP79, NEDVIBA
Hemolytic anemia, CD59-mediated, with or without immune-mediated polyneuropathy 	CD59, MIC11
Hemophagocytic lymphohistiocytosis, familial, 1 	FHL1, HPLH1, HLH1
Hemosiderosis, systemic, due to aceruloplasminemia 	CP
Hengel-Maroofian-Schols syndrome 	BCAS3, HEMARS
Hepatocellular carcinoma, childhood type, somatic 	MET, DFNB97, OSFD
Hereditary motor and sensory neuropathy VIA 	MFN2, KIAA0214, CMT2A2A, HMSN6A, CMT2A2B
Hereditary motor and sensory neuropathy, Okinawa type 	TFG, HMSNP, SPG57
Hereditary motor and sensory neuropathy, type IIc 	TRPV4, VROAC, HMSN2C, CMT2C, SPSMA, SSQTL1, SMAL, BCYM3
Heterotopia, periventricular, 1 	FLNA, FLN1, NHBP, OPD1, OPD2, FMD, MNS, CVD1, CSBS, FGS2
Histiocytosis-lymphadenopathy plus syndrome 	SLC29A3, ENT3, PHID, HCLAP
Huntington disease 	HTT, HD, IT15, LOMARS
Huntington disease-like 1 	PRNP, PRIP, KURU, CJD
Huntington disease-like 2 	JPH3, JP3, HDL2
Hutchinson-Gilford progeria 	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS
Hyaline fibromatosis syndrome 	ANTXR2, CMG2, HFS
Hydranencephaly with abnormal genitalia 	ARX, ISSX, PRTS, MRXS1, MRX36, MRX54, MRX43, MRX87, MRX29, MRX32
Hydrocephalus due to aqueductal stenosis 	L1CAM, CAML1, HSAS1, MASA, SPG1
Hydrocephalus with Hirschsprung disease 	L1CAM, CAML1, HSAS1, MASA, SPG1
Hydrocephalus with congenital idiopathic intestinal pseudoobstruction 	L1CAM, CAML1, HSAS1, MASA, SPG1
Hydrocephalus, congenital, 1 	CCDC88C, HKRP2, DAPLE, KIAA1509, HYC1, SCA40
Hydrocephalus, congenital, 3, with brain anomalies 	WDR81, CAMRQ2, HYC3
Hydrops, lactic acidosis, and sideroblastic anemia 	LARS2, PRLTS4, HLASA
Hyper-IgD syndrome 	MVK, MVLK, POROK3
Hyperaldosteronism, familial, type II 	CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT, HALD2
Hyperekplexia 1 	GLRA1, STHE, HKPX1
Hyperekplexia 2 	GLRB, HKPX2
Hyperekplexia 3 	SLC6A5, GLYT2, HKPX3
Hyperekplexia 4 	ATAD1, THORASE, HKPX4
Hyperferritinemia-cataract syndrome 	FTL, NBIA3, LFTD
Hyperkalemic periodic paralysis, type 2 	SCN4A, HYPP, NAC1A, HOKPP2, CMS16
Hyperlipoproteinemia, type III 	APOE, AD2, LPG, LDLCQ5
Hypermanganesemia with dystonia 1 	SLC30A10, ZNT10, HMNDYT1
Hypermanganesemia with dystonia 2 	SLC39A14, ZIP14, KIAA0062, HMNDYT2, HCIN
Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase 	AHCY, SAHH
Hyperornithinemia-hyperammonemia-homocitrullinemia syndrome 	SLC25A15, ORNT1, HHH
Hyperoxaluria, primary, type 1 	AGXT, SPAT
Hyperparathyroidism, neonatal 	CASR, HHC1, PCAR1, FIH, EIG8, HYPOC1
Hyperphenylalaninemia, BH4-deficient, A 	PTS
Hyperphenylalaninemia, BH4-deficient, B 	GCH1, DYT5, HPABH4B
Hyperphenylalaninemia, BH4-deficient, C 	QDPR, DHPR
Hyperphenylalaninemia, mild, non-BH4-deficient 	DNAJC12, JDP1, HPANBH4
Hyperuricemia, HRPT-related 	HPRT1, HPRT
Hypoalphalipoproteinemia, primary, 2 	APOA1, HPALP2
Hypoalphalipoproteinemia, primary, 2, intermediate 	APOA1, HPALP2
Hypocalcemia, autosomal dominant 	CASR, HHC1, PCAR1, FIH, EIG8, HYPOC1
Hypocalcemia, autosomal dominant, with Bartter syndrome 	CASR, HHC1, PCAR1, FIH, EIG8, HYPOC1
Hypocalciuric hypercalcemia, type I 	CASR, HHC1, PCAR1, FIH, EIG8, HYPOC1
Hypochondroplasia 	FGFR3, ACH
Hypokalemic periodic paralysis, type 1 	CACNA1S, CACNL1A3, CCHL1A3, TTPP1, HOKPP1, MHS5
Hypokalemic periodic paralysis, type 2 	SCN4A, HYPP, NAC1A, HOKPP2, CMS16
Hypomagnesemia, seizures, and mental retardation 2 	ATP1A1, CMT2DD, HOMGSMR2
Hypomyelinating neuropathy, congenital, 1 	EGR2, KROX20, CHN1
Hypomyelinating neuropathy, congenital, 2 	MPZ, CMT1B, CMTDID, DSS, CHN2
Hypomyelinating neuropathy, congenital, 3 	CNTNAP1, CASPR, P190, CHN3
Hypomyelination with brainstem and spinal cord involvement and leg spasticity 	DARS1, DARS, HBSL
Hypoparathyroidism-retardation-dysmorphism syndrome 	TBCE, KCS, KCS1, HRD, PEAMO
Hypophosphatemic rickets, AR 	DMP1, ARHR, ARHP
Hypoplastic left heart syndrome 1 	GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP3
Hypospadias 1, X-linked 	AR, DHTR, TFM, SBMA, KD, SMAX1, HYSP1
Hypotonia, ataxia, and delayed development syndrome 	EBF3, COE3, HADDS
Hypotonia, ataxia, developmental delay, and tooth enamel defect syndrome 	CTBP1, HADDTS
Hypotonia, infantile, with psychomotor retardation and characteristic facies 1 	NALCN, IHPRF1, CLIFAHDD
Hypotonia, infantile, with psychomotor retardation and characteristic facies 2 	UNC80, C2orf21, KIAA1843
Ichthyosis, spastic quadriplegia, and mental retardation 	ELOVL4, ADMD, STGD2, STGD3, ISQMR, SCA34
Ichthyotic keratoderma, spasticity, hypomyelination, and dysmorphic facies 	ELOVL1, SSC1, IKSHD
Immunodeficiency 10 	STIM1, TAM1, IMD10, STRMK
Immunodeficiency 27A, mycobacteriosis, AR 	IFNGR1, IMD27A, IMD27B
Immunodeficiency 9 	ORAI1, TMEM142A, CRACM1, IMD9, TAM2
Immunodeficiency 95 	IFIH1, MDA5, AGS7, SGMRT1, IMD95
Immunodeficiency-centromeric instability-facial anomalies syndrome 1 	DNMT3B, ICF1, FSHD4
Inclusion body myopathy and brain white matter abnormalities 	ANXA11, ANX11, ALS23, IBMWMA
Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia 1 	VCP, IBMPFD1, CMT2Y, FTDALS6
Infantile cerebellar-retinal degeneration 	ACO2, ICRD, OPA9
Infantile liver failure syndrome 3 	RINT1, ILFS3
Infantile neuroaxonal dystrophy 1 	PLA2G6, IPLA2, INAD1, NBIA2B, NBIA2A, PARK14
Infantile-onset multisystem neurologic, endocrine, and pancreatic disease 2 	YARS1, YARS, CMTDIC, TYRRS, YTS, YRS, IMNEPD2
Infantile-onset multisystem neurologic, endocrine, and pancreatic disease 	PTRH2, BIT1, IMNEPD
Insensitivity to pain, congenital 	SCN9A, NENA, PN1, SFNP, HSAN2D
Insensitivity to pain, congenital, with anhidrosis 	NTRK1, TRKA
Insomnia, fatal familial 	PRNP, PRIP, KURU, CJD
Intellectual developmental disorder and microcephaly with pontine and cerebellar hypoplasia 	CASK, MICPCH, FGS4, CMG, MRXSNA
Intellectual developmental disorder with epilepsy, behavioral abnormalities, and coarse facies 	ALG14, CMS15, IDDEBF, MEPCA
Intellectual developmental disorder with hypotonia, impaired speech, and dysmorphic facies 	TNPO2, TRN2, KPNB2B, IDDHISD
Intellectual developmental disorder with or without epilepsy or cerebellar ataxia 	RORA, IDDECA
Intellectual developmental disorder with or without peripheral neuropathy 	NUDT2, APAH1, IDDPN
Intellectual developmental disorder with paroxysmal dyskinesia or seizures 	PDE2A, IDDPADS
Intellectual developmental disorder with speech delay and axonal peripheral neuropathy 	NEMF, SDCCAG1, IDDSAPN
Intellectual developmental disorder, X-linked 12 	THOC2, THO2, XLID12
Intellectual developmental disorder, X-linked 29 	ARX, ISSX, PRTS, MRXS1, MRX36, MRX54, MRX43, MRX87, MRX29, MRX32
Intellectual developmental disorder, X-linked 72 	RAB39B, XLID72, WSMN, MRX72
Intellectual developmental disorder, X-linked syndromic 33 	TAF1, TAF2A, CCG1, BA2R, DYT3, MRXS33
Intellectual developmental disorder, X-linked syndromic, Billuart type 	OPHN1, MRXSBL
Intellectual developmental disorder, X-linked syndromic, Christianson type 	SLC9A6, NHE6, MRXSCH
Intellectual developmental disorder, X-linked syndromic, Claes-Jensen type 	KDM5C, JARID1C, SMCX, DXS1272E, XE169, MRXSCJ
Intellectual developmental disorder, X-linked syndromic, Lubs type 	MECP2, RTT, PPMX, AUTSX3, MRXSL, MRXS13
Intellectual developmental disorder, X-linked, syndromic 13 	MECP2, RTT, PPMX, AUTSX3, MRXSL, MRXS13
Intellectual developmental disorder, X-linked, syndromic, Hedera type 	ATP6AP2, ATP6M8-9, XMRE, MRXSH, XPDS, CDG2R
Intellectual developmental disorder, autosomal dominant 13 	DYNC1H1, DNCL, DNECL, CMT2O, MRD13, SMALED1
Intellectual developmental disorder, autosomal dominant 35 	PPP2R5D, MRD35
Intellectual developmental disorder, autosomal dominant 42 	GNB1, MRD42, MDS
Intellectual developmental disorder, autosomal dominant 5 	SYNGAP1, MRD5
Intellectual developmental disorder, autosomal dominant 55, with seizures 	NUS1, NGBR, C6orf68, CDG1AA, MRD55
Intellectual developmental disorder, with or without nystagmus 	CASK, MICPCH, FGS4, CMG, MRXSNA
Intellectual disability-hypotonic facies syndrome, X-linked 	ATRX, XH2, XNP, SHS, SFM1, MRXHF1
Interstitial lung and liver disease 	MARS1, MARS, MTRNS, METRS, ILLD, CMT2U, TTD9
Intestinal pseudoobstruction, neuronal 	FLNA, FLN1, NHBP, OPD1, OPD2, FMD, MNS, CVD1, CSBS, FGS2
Jaberi-Elahi syndrome 	GTPBP2, JABELS
Jackson-Weiss syndrome 	FGFR2, BEK, CFD1, JWS, TK14, BBDS
Joubert syndrome 1 	INPP5E, MORMS, JBTS1, CORS1
Joubert syndrome 10 	OFD1, CXorf5, SGBS2, JBTS10, RP23
Joubert syndrome 12 	KIF7, HLS2, ACLS, JBTS12, AGBK
Joubert syndrome 14 	TMEM237, ALS2CR4, JBTS14
Joubert syndrome 15 	CEP41, TSGA14, JBTS15
Joubert syndrome 16 	TMEM138, JBTS16
Joubert syndrome 17 	CPLANE1, C5orf42, JBTS17, OFD6
Joubert syndrome 18 	TCTN3, TECT3, C10orf61, OFD4, JBTS18
Joubert syndrome 2 	TMEM216, JBTS2, CORS2, MKS2
Joubert syndrome 20 	TMEM231, JBTS20, MKS11
Joubert syndrome 24 	TCTN2, TECT2, MKS8, JBTS24
Joubert syndrome 28 	MKS1, MKS, BBS13, JBTS28
Joubert syndrome 3 	AHI1
Joubert syndrome 32 	SUFU, SUFUXL, SUFUH, JBTS32
Joubert syndrome 4 	NPHP1, NPH1, SLSN1, JBTS4
Joubert syndrome 5 	CEP290, KIAA0373, 3H11AG, JBTS5, SLSN6, LCA10, BBS14
Joubert syndrome 6 	TMEM67, MKS3, JBTS6, NPHP11
Joubert syndrome 7 	RPGRIP1L, KIAA1005, JBTS7, MKS5, COACH3
Joubert syndrome 8 	ARL13B, ARL2L1, JBTS8
Joubert syndrome 9 	CC2D2A, KIAA1345, MKS6, COACH2, RP93
Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome 	SMAD4, MADH4, DPC4, JIP, MYHRS
Kahrizi syndrome 	SRD5A3, SRD5A2L, CDG1Q, KRIZI
Kanzaki disease 	NAGA
Kaya-Barakat-Masson syndrome 	YIF1B, KABAMAS
Kenny-Caffey syndrome, type 1 	TBCE, KCS, KCS1, HRD, PEAMO
Keratitis 	PAX6, AN2, MGDA, FVH1, ASGD5
King-Denborough syndrome 	RYR1, MHS, CCO, KDS
Klippel-Feil syndrome 4, autosomal recessive, with myopathy and facial dysmorphism 	MYO18B, KFS4
Kosaki overgrowth syndrome 	PDGFRB, PDGFR, IBGC4, IMF1, PENTT, KOGS
Krabbe disease 	GALC
Krabbe disease, atypical 	PSAP, SAP1, PSAPD, PARK24
Kufor-Rakeb syndrome 	ATP13A2, PARK9, KRPPD, SPG78
L-2-hydroxyglutaric aciduria 	L2HGDH, C14orf160, L2HGA
L-ferritin deficiency, dominant and recessive 	FTL, NBIA3, LFTD
LADD syndrome 	FGFR2, BEK, CFD1, JWS, TK14, BBDS
LADD syndrome 	FGFR3, ACH
LCHAD deficiency 	HADHA, MTPA
Lacticacidemia due to PDX1 deficiency 	PDHX, PDX1, E3BP, PDHXD
Laing distal myopathy 	MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD
Larsen syndrome 	FLNB, SCT, AOI, LRS1
Lateral meningocele syndrome 	NOTCH3, CADASIL1, CASIL, IMF2, LMNS
Leber congenital amaurosis 10 	CEP290, KIAA0373, 3H11AG, JBTS5, SLSN6, LCA10, BBS14
Leber congenital amaurosis 18 	PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1
Left ventricular noncompaction 3 	LDB3, ZASP, CYPHER, KIAA01613, MFM4, CMD1C, CMH24, LVNC3
Left ventricular noncompaction 4 	ACTC1, CMD1R, CMH11, ASD5, LVNC4
Left ventricular noncompaction 5 	MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD
Lesch-Nyhan syndrome 	HPRT1, HPRT
Lethal congenital contractural syndrome 3 	PIP5K1C, LCCS3
Lethal congenital contracture syndrome 1 	GLE1, GLE1L, LCCS, LCCS1, CAAHD
Lethal congenital contracture syndrome 10 	NEK9, NERCC1, LCCS10, APUG, NC
Lethal congenital contracture syndrome 11 	GLDN, CRGL2, LCCS11
Lethal congenital contracture syndrome 4 	MYBPC1, LCCS4, MYOTREM
Lethal congenital contracture syndrome 5 	DNM2, CMTDIB, CMTDI1, CMT2M, LCCS5
Lethal congenital contracture syndrome 7 	CNTNAP1, CASPR, P190, CHN3
Lethal congenital contracture syndrome 8 	ADCY6, LCCS8
Lethal congenital contracture syndrome 9 	ADGRG6, PR126, VIGR, LCCS9
Leukemia, acute lymphoblastic, somatic 	GNB1, MRD42, MDS
Leukodystrophy, adult-onset, autosomal dominant 	LMNB1, ADLD, MCPH26
Leukodystrophy, hypomyelinating, 16 	TMEM106B, HLD16
Leukodystrophy, hypomyelinating, 18 	DEGS1, DES1, MLD, HLD18
Leukodystrophy, hypomyelinating, 2 	GJC2, GJA12, CX47, PMLDAR, HLD2, SPG44, LMPHM3
Leukodystrophy, hypomyelinating, 23, with ataxia, deafness, liver dysfunction, and dilated cardiomyopathy 	RNF220, HLD23
Leukodystrophy, hypomyelinating, 3 	AIMP1, SCYE1, EMAP2, EMAPII, HLD3
Leukodystrophy, hypomyelinating, 4 	HSPD1, SPG13, HSP60, HLD4
Leukodystrophy, hypomyelinating, 6 	TUBB4A, DYT4, HLD6
Leukodystrophy, hypomyelinating, 7, with or without oligodontia and/or hypogonadotropic hypogonadism 	POLR3A, RPC1, RPC155, ADDH, HLD7, WDRTS
Leukodystrophy, hypomyelinating, 8, with or without oligodontia and/or hypogonadotropic hypogonadism 	POLR3B, RPC2, C128, HLD8, CMT1I
Leukoencephalopathy with ataxia 	CLCN2, EGMA, ECA2, EGI11, EJM8, LKPAT, HALD2
Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation 	DARS2, ASPRS. LBSL
Leukoencephalopathy with vanishing white matter 	EIF2B1, EIF2BA
Leukoencephalopathy with vanishing white matter 	EIF2B2
Leukoencephalopathy with vanishing white matter 	EIF2B3
Leukoencephalopathy with vanishing white matter 	EIF2B4
Leukoencephalopathy with vanishing white matter 	EIF2B5, LVWM, CACH, CLE
Leukoencephalopathy, acute reversible, with increased urinary alpha-ketoglutarate 	SLC13A3, NADC3, ARLIAK
Leukoencephalopathy, brain calcifications, and cysts 	SNORD118, LCC
Leukoencephalopathy, developmental delay, and episodic neurologic regression syndrome 	EIF2AK2, PRKR, LEUDEN, DYT33
Leukoencephalopathy, diffuse hereditary, with spheroids 1 	CSF1R, FMS, HDLS1, BANDDOS
Leukoencephalopathy, progressive, infantile-onset, with or without deafness 	KARS1, KARS, CMTRIB, DFNB89, LEPID, DEAPLE
Leukoencephalopathy, progressive, with ovarian failure 	AARS2, KIAA1270, MTALARS, COXPD8, LKENP
Liang-Wang syndrome 	KCNMA1, SLO, PNKD3, CADEDS, IEG16, LIWAS
Lichtenstein-Knorr syndrome 	SLC9A1, NHE1, APNH, LIKNS
Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency 	FLAD1, FADS, LSMFLAD
Lipodystrophy, congenital generalized, type 2 	BSCL2, SPG17, HMN5, PELD, HMN5C
Lipodystrophy, congenital generalized, type 4 	CAVIN1, PTRF
Lipodystrophy, familial partial, type 2 	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS
Lipoprotein glomerulopathy 	APOE, AD2, LPG, LDLCQ5
Lissencephaly, X-linked 2 	ARX, ISSX, PRTS, MRXS1, MRX36, MRX54, MRX43, MRX87, MRX29, MRX32
Loeys-Dietz syndrome 1 	TGFBR1, ALK5, AAT5, LDS1, MSSE
Loeys-Dietz syndrome 2 	TGFBR2, HNPCC6, AAT3, MFS2, LDS2
Loeys-Dietz syndrome 3 	SMAD3, MADH3, LDS3
Loeys-Dietz syndrome 4 	TGFB2, LDS4
Loeys-Dietz syndrome 5 	TGFB3, ARVD1, RNHF, LDS5
Long QT syndrome 9 	CAV3, LQT9, MPDT, RMD2
Lopes-Maciel-Rodan syndrome 	HTT, HD, IT15, LOMARS
Lujan-Fryns syndrome 	MED12, TNRC11, TRAP230, HOPA, KIAA0192, OKS, FGS1, OHDOX, HDKR
Lymphatic malformation 3 	GJC2, GJA12, CX47, PMLDAR, HLD2, SPG44, LMPHM3
Lymphoma, B-cell non-Hodgkin, somatic 	ATM, ATA, AT1
Lymphoma, mantle cell, somatic 	ATM, ATA, AT1
MASA syndrome 	L1CAM, CAML1, HSAS1, MASA, SPG1
MEDNIK syndrome 	AP1S1, CLAPS1, AP19, MEDNIK
MEND syndrome 	EBP, CDPX2, CPXD, CPX, MEND
MHC class II deficiency, complementation group B 	RFXANK
MIRAGE syndrome 	SAMD9, NFTC, MIRAGE, M7MLS2
Machado-Joseph disease 	ATXN3, MJD, SCA3
Macular degeneration, age-related, 3 	FBLN5, ARMD3, ADCL2, ARCL1A, HNARMD, CMT1H
Macular degeneration, early-onset 	FBN2, CCA, EOMD
Macular dystrophy, patterned, 1 	PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1
Macular dystrophy, vitelliform, 3 	PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1
Malouf syndrome 	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS
Mandibuloacral dysplasia with type B lipodystrophy 	ZMPSTE24, FACE1, STE24, MADB, RSDM1
Mandibuloacral dysplasia 	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS
Mannosidosis, alpha-, types I and II 	MAN2B1, MANB
Maple syrup urine disease, type Ib 	BCKDHB, E1B
Marinesco-Sjogren syndrome 	SIL1, BAP, MSS
Martsolf syndrome 1 	RAB3GAP2, RAB3GAP150, p150, KIAA0839, WARBM2, MARTS1
Mast syndrome 	ACP33, MAST, SPG21
McArdle disease 	PYGM
McKusick-Kaufman syndrome 	MKKS, HMCS, KMS, MKS, BBS6
McLeod syndrome with or without chronic granulomatous disease 	XK, MCLDS
Meckel syndrome 1 	MKS1, MKS, BBS13, JBTS28
Meckel syndrome 11 	TMEM231, JBTS20, MKS11
Meckel syndrome 2 	TMEM216, JBTS2, CORS2, MKS2
Meckel syndrome 3 	TMEM67, MKS3, JBTS6, NPHP11
Meckel syndrome 4 	CEP290, KIAA0373, 3H11AG, JBTS5, SLSN6, LCA10, BBS14
Meckel syndrome 5 	RPGRIP1L, KIAA1005, JBTS7, MKS5, COACH3
Meckel syndrome 6 	CC2D2A, KIAA1345, MKS6, COACH2, RP93
Medullary thyroid carcinoma 	RET, MEN2A, HSCR1
Medulloblastoma 	ELP1, IKBKAP, IKAP
Medulloblastoma, desmoplastic 	SUFU, SUFUXL, SUFUH, JBTS32
Megacystis-microcolon-intestinal hypoperistalsis syndrome 1 	MYLK, MLCK, AAT7, MMIHS1
Megacystis-microcolon-intestinal hypoperistalsis syndrome 2 	MYH11, AAT4, FAA4, VSCM2
Megacystis-microcolon-intestinal hypoperistalsis syndrome 5 	ACTG2, ACTA3, VSCM1, MMIHS5
Melnick-Needles syndrome 	FLNA, FLN1, NHBP, OPD1, OPD2, FMD, MNS, CVD1, CSBS, FGS2
Meningioma, SIS-related 	PDGFB, SIS, IBGC5
Menkes disease 	ATP7A, MNK, MK, OHS, SMAX3
Mental retardation, truncal obesity, retinal dystrophy, and micropenis 	INPP5E, MORMS, JBTS1, CORS1
Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration 	TANGO2, C22orf25, MECRCN
Metachromatic leukodystrophy due to SAP-b deficiency 	PSAP, SAP1, PSAPD, PARK24
Metachromatic leukodystrophy 	ARSA
Metatropic dysplasia 	TRPV4, VROAC, HMSN2C, CMT2C, SPSMA, SSQTL1, SMAL, BCYM3
Methylmalonic aciduria and homocystinuria, cblC type 	MMACHC
Mevalonic aciduria 	MVK, MVLK, POROK3
Microangiopathy and leukoencephalopathy, pontine, autosomal dominant 	COL4A1, BSVD1, HANAC, ICH, BSVD, RATOR, PADMAL
Microcephaly 26, primary, autosomal dominant 	LMNB1, ADLD, MCPH26
Microcephaly, seizures, and developmental delay 	PNKP, PNK, MCSZ, AOA4, CMT2B2
Migraine, familial basilar 	ATP1A2, FHM2, MHP2, FARIMPD, DEE98
Migraine, familial hemiplegic, 1 	CACNA1A, CACNL1A4, SCA6, DEE42
Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia 	CACNA1A, CACNL1A4, SCA6, DEE42
Migraine, familial hemiplegic, 2 	ATP1A2, FHM2, MHP2, FARIMPD, DEE98
Migraine, familial hemiplegic, 3 	SCN1A, GEFSP2, SMEI, FEB3A, DEE6A, DRVT, FHM3, DEE6B
Minicore myopathy with external ophthalmoplegia 	RYR1, MHS, CCO, KDS
Mitchell syndrome 	ACOX1, ACOX, SCOX, MITCH
Mitochondrial DNA depletion syndrome 11 	MGME1, C20orf72, MTDPS11
Mitochondrial complex I deficiency, nuclear type 20 	ACAD9, MC1DN20
Mitochondrial complex I deficiency, nuclear type 21 	NUBPL, IND1, MC1DN21
Mitochondrial complex I deficiency, nuclear type 27 	MTFMT, COXPD15, MC1DN27
Mitochondrial complex I deficiency, nuclear type 29 	TMEM126B, MC1DN29
Mitochondrial complex II deficiency, nuclear type 1 	SDHA, SDH1, SDHF, CMD1GG, PGL5, MC2DN1, NDAXOA
