Gene	pDN	pGOF	pLOF
ABCC3	0.777829449272378	0.745273940055945	0.233086741017771
ABCC4	0.764049525120382	0.729158377582234	0.251147218156033
ABCC5	0.711151726644752	0.737906796875351	0.288091227276818
ABCC6	0.724170936660387	0.734403001194329	0.28380018757994
ABCC8	0.777345436065851	0.803492030813666	0.219102366476005
ABCC9	0.750738078232908	0.781849500165932	0.236201072742733
ABCD1	0.464280255007184	0.569639694643424	0.605104473230455
ABCD2	0.805121330250528	0.708937450269444	0.247346144440439
ABCD3	0.784088296901229	0.705974123393853	0.261695462991323
ABCD4	0.796667187365292	0.762095856415876	0.202120119357715
ABCE1	0.432516989465335	0.397201857891565	0.662194991370156
ABCF1	0.696439976142907	0.531819206669815	0.302082173727891
ABCF2	0.673988771467852	0.572979558152189	0.304955985941368
ABCF3	0.731010201336215	0.621772617103924	0.260548026319192
ABCG1	0.761728278629876	0.776287770503712	0.212313108574538
ABCG2	0.741635912779171	0.770017529356028	0.251201014444427
ABCG4	0.767605318868254	0.840833455668946	0.179772657508071
ABCG5	0.700267161499634	0.790021525723323	0.252908331083514
ABCG8	0.684605825373677	0.751227790288667	0.284920121561915
ABHD1	0.60137916619488	0.554656926136354	0.264642637509211
ABHD10	0.646847878968973	0.527276782620083	0.327638595529274
ABHD11	0.786883332906485	0.561421611154991	0.220312742305479
ABHD12	0.691605127358025	0.583489806665446	0.264956146402436
ABHD12B	0.637216412548698	0.522903084341291	0.334145386909451
ABHD13	0.440387265646596	0.436722561515488	0.548537361487707
ABHD14A	0.617413783375914	0.592419655553423	0.329198082581201
ABHD14B	0.677135108421043	0.552648751123266	0.254679413082881
ABHD15	0.494550289705316	0.556000601656222	0.396753252454963
ABHD16A	0.45447749778868	0.495220121493347	0.472989454423308
ABHD16B	0.64936162142398	0.621143266172973	0.294082371314739
ABHD17A	0.667819407312125	0.708236866490921	0.285461280063736
ABHD17B	0.540165285503977	0.55592170320228	0.397682472359677
ABHD17C	0.322109887276998	0.493852664318485	0.633081155565893
ABHD18	0.604616865325782	0.506038688749786	0.356859079620786
ABHD2	0.396982961322789	0.507646156354566	0.468364733458483
ABHD3	0.53473688297177	0.553881642131867	0.326152001387685
ABHD4	0.673528804853591	0.565215176236928	0.315435037886848
ABHD5	0.657927680610037	0.559847369761614	0.300873376276008
ABHD6	0.654246312757088	0.596773926794489	0.307260366875846
ABHD8	0.359434753880523	0.550955470124868	0.629759036681716
ABI1	0.546392134638657	0.615921140053515	0.650390795672841
ABI2	0.562510836262975	0.605362221018381	0.549509380145988
ABI3	0.728715258015023	0.666236168425664	0.343182600758376
ABI3BP	0.683641802860404	0.46592904926126	0.384961661332241
ABITRAM	0.606222903729641	0.270588648768836	0.426248954501333
ABL1	0.44750013308884	0.549764290326652	0.725095898805242
ABL2	0.723884950549941	0.702436139757579	0.389497078954914
ABLIM1	0.638344669157134	0.639227049814525	0.652953793043058
ABLIM2	0.775952161790778	0.741700980115273	0.378942813124176
ABLIM3	0.721223504278221	0.624234826830986	0.425161933449128
ABO	0.616751246393399	0.594540592827227	0.351528795405565
ABR	0.533851776928901	0.612156343057162	0.509685913969403
ABRA	0.611568808791822	0.631062293162531	0.368533217873501
ABRACL	0.696776163586082	0.601756906370207	0.341954327824012
ABRAXAS1	0.608142164701377	0.413184940170366	0.417960118404786
ABRAXAS2	0.542464876415371	0.333421314116714	0.514705295559317
ABT1	0.771241409331028	0.629017302706656	0.274788356307096
ABTB1	0.673217562432985	0.730059959561011	0.272740006694859
ABTB2	0.553558670991547	0.589939836893625	0.420660652178406
ABTB3	0.53276947836145	0.540861851715661	0.571115657559593
ACAA1	0.719470992087764	0.594080184064577	0.404263381569845
ACAA2	0.719573933939537	0.608167748244586	0.450783060870582
ACACA	0.43398125572787	0.345434935538833	0.609563697363498
ACACB	0.630065675371591	0.537569947710128	0.388724817181036
ACAD10	0.646876888622019	0.622905762404533	0.397943981720002
ACAD11	0.762246862789385	0.616859893649398	0.265190330375366
ACAD8	0.70451200763649	0.691317479794283	0.356065676761749
